year,test.1,total,data
1958,adult standard,668,0
1958,album roc,0,0
1958,alternative meta,0,0
1958,alternative roc,0,0
1958,atl hip ho,0,0
1958,boy ban,0,0
1958,brill building po,0,0
1958,canadian hip ho,0,0
1958,classic sou,0,0
1958,contemporary countr,0,0
1958,contemporary country,0,0
1958,dance po,0,0
1958,dance roc,0,0
1958,disc,0,0
1958,hip ho,0,0
1958,po,0,0
1959,adult standard,1597,0
1959,album roc,0,0
1959,alternative meta,0,0
1959,alternative roc,0,0
1959,atl hip ho,0,0
1959,boy ban,0,0
1959,brill building po,0,0
1959,canadian hip ho,0,0
1959,classic sou,0,0
1959,contemporary countr,0,0
1959,contemporary country,0,0
1959,dance po,0,0
1959,dance roc,0,0
1959,disc,0,0
1959,hip ho,0,0
1959,po,0,0
1960,adult standard,1953,0
1960,album roc,0,0
1960,alternative meta,0,0
1960,alternative roc,0,0
1960,atl hip ho,0,0
1960,boy ban,0,0
1960,brill building po,0,0
1960,canadian hip ho,0,0
1960,classic sou,0,0
1960,contemporary countr,0,0
1960,contemporary country,0,0
1960,dance po,0,0
1960,dance roc,0,0
1960,disc,0,0
1960,hip ho,0,0
1960,po,0,0
1961,adult standard,1785,0
1961,album roc,0,0
1961,alternative meta,0,0
1961,alternative roc,0,0
1961,atl hip ho,0,0
1961,boy ban,0,0
1961,brill building po,0,0
1961,canadian hip ho,0,0
1961,classic sou,0,0
1961,contemporary countr,0,0
1961,contemporary country,0,0
1961,dance po,0,0
1961,dance roc,0,0
1961,disc,0,0
1961,hip ho,0,0
1961,po,0,0
1962,adult standard,1760,0
1962,album roc,0,0
1962,alternative meta,0,0
1962,alternative roc,0,0
1962,atl hip ho,0,0
1962,boy ban,0,0
1962,brill building po,429,0
1962,canadian hip ho,0,0
1962,classic sou,0,0
1962,contemporary countr,0,0
1962,contemporary country,0,0
1962,dance po,0,0
1962,dance roc,0,0
1962,disc,0,0
1962,hip ho,0,0
1962,po,0,0
1963,adult standard,1784,0
1963,album roc,0,0
1963,alternative meta,0,0
1963,alternative roc,0,0
1963,atl hip ho,0,0
1963,boy ban,0,0
1963,brill building po,518,0
1963,canadian hip ho,0,0
1963,classic sou,0,0
1963,contemporary countr,0,0
1963,contemporary country,0,0
1963,dance po,0,0
1963,dance roc,0,0
1963,disc,0,0
1963,hip ho,0,0
1963,po,0,0
1964,adult standard,1546,0
1964,album roc,0,0
1964,alternative meta,0,0
1964,alternative roc,0,0
1964,atl hip ho,0,0
1964,boy ban,0,0
1964,brill building po,642,0
1964,canadian hip ho,0,0
1964,classic sou,0,0
1964,contemporary countr,0,0
1964,contemporary country,0,0
1964,dance po,0,0
1964,dance roc,0,0
1964,disc,0,0
1964,hip ho,0,0
1964,po,0,0
1965,adult standard,1579,0
1965,album roc,0,0
1965,alternative meta,0,0
1965,alternative roc,0,0
1965,atl hip ho,0,0
1965,boy ban,0,0
1965,brill building po,747,0
1965,canadian hip ho,0,0
1965,classic sou,0,0
1965,contemporary countr,0,0
1965,contemporary country,0,0
1965,dance po,0,0
1965,dance roc,0,0
1965,disc,0,0
1965,hip ho,0,0
1965,po,0,0
1966,adult standard,1493,0
1966,album roc,0,0
1966,alternative meta,0,0
1966,alternative roc,0,0
1966,atl hip ho,0,0
1966,boy ban,0,0
1966,brill building po,766,0
1966,canadian hip ho,0,0
1966,classic sou,0,0
1966,contemporary countr,0,0
1966,contemporary country,0,0
1966,dance po,0,0
1966,dance roc,0,0
1966,disc,0,0
1966,hip ho,0,0
1966,po,0,0
1967,adult standard,1383,0
1967,album roc,0,0
1967,alternative meta,0,0
1967,alternative roc,0,0
1967,atl hip ho,0,0
1967,boy ban,0,0
1967,brill building po,766,0
1967,canadian hip ho,0,0
1967,classic sou,512,0
1967,contemporary countr,0,0
1967,contemporary country,0,0
1967,dance po,0,0
1967,dance roc,0,0
1967,disc,0,0
1967,hip ho,0,0
1967,po,0,0
1968,adult standard,1136,0
1968,album roc,0,0
1968,alternative meta,0,0
1968,alternative roc,0,0
1968,atl hip ho,0,0
1968,boy ban,0,0
1968,brill building po,719,0
1968,canadian hip ho,0,0
1968,classic sou,571,0
1968,contemporary countr,0,0
1968,contemporary country,0,0
1968,dance po,0,0
1968,dance roc,0,0
1968,disc,0,0
1968,hip ho,0,0
1968,po,0,0
1969,adult standard,1096,0
1969,album roc,0,0
1969,alternative meta,0,0
1969,alternative roc,0,0
1969,atl hip ho,0,0
1969,boy ban,0,0
1969,brill building po,621,0
1969,canadian hip ho,0,0
1969,classic sou,537,0
1969,contemporary countr,0,0
1969,contemporary country,0,0
1969,dance po,0,0
1969,dance roc,0,0
1969,disc,0,0
1969,hip ho,0,0
1969,po,0,0
1970,adult standard,1112,0
1970,album roc,0,0
1970,alternative meta,0,0
1970,alternative roc,0,0
1970,atl hip ho,0,0
1970,boy ban,0,0
1970,brill building po,0,0
1970,canadian hip ho,0,0
1970,classic sou,527,0
1970,contemporary countr,0,0
1970,contemporary country,0,0
1970,dance po,0,0
1970,dance roc,0,0
1970,disc,0,0
1970,hip ho,0,0
1970,po,0,0
1971,adult standard,1122,0
1971,album roc,477,0
1971,alternative meta,0,0
1971,alternative roc,0,0
1971,atl hip ho,0,0
1971,boy ban,0,0
1971,brill building po,0,0
1971,canadian hip ho,0,0
1971,classic sou,571,0
1971,contemporary countr,0,0
1971,contemporary country,0,0
1971,dance po,0,0
1971,dance roc,0,0
1971,disc,0,0
1971,hip ho,0,0
1971,po,0,0
1972,adult standard,950,0
1972,album roc,789,0
1972,alternative meta,0,0
1972,alternative roc,0,0
1972,atl hip ho,0,0
1972,boy ban,0,0
1972,brill building po,0,0
1972,canadian hip ho,0,0
1972,classic sou,689,0
1972,contemporary countr,0,0
1972,contemporary country,0,0
1972,dance po,0,0
1972,dance roc,0,0
1972,disc,0,0
1972,hip ho,0,0
1972,po,0,0
1973,adult standard,1129,0
1973,album roc,737,0
1973,alternative meta,0,0
1973,alternative roc,0,0
1973,atl hip ho,0,0
1973,boy ban,0,0
1973,brill building po,0,0
1973,canadian hip ho,0,0
1973,classic sou,738,0
1973,contemporary countr,0,0
1973,contemporary country,0,0
1973,dance po,0,0
1973,dance roc,0,0
1973,disc,0,0
1973,hip ho,0,0
1973,po,0,0
1974,adult standard,1006,0
1974,album roc,834,0
1974,alternative meta,0,0
1974,alternative roc,0,0
1974,atl hip ho,0,0
1974,boy ban,0,0
1974,brill building po,0,0
1974,canadian hip ho,0,0
1974,classic sou,757,0
1974,contemporary countr,0,0
1974,contemporary country,0,0
1974,dance po,0,0
1974,dance roc,0,0
1974,disc,0,0
1974,hip ho,0,0
1974,po,0,0
1975,adult standard,1077,0
1975,album roc,783,0
1975,alternative meta,0,0
1975,alternative roc,0,0
1975,atl hip ho,0,0
1975,boy ban,0,0
1975,brill building po,0,0
1975,canadian hip ho,0,0
1975,classic sou,0,0
1975,contemporary countr,0,0
1975,contemporary country,0,0
1975,dance po,0,0
1975,dance roc,0,0
1975,disc,0,0
1975,hip ho,0,0
1975,po,0,0
1976,adult standard,1065,0
1976,album roc,1051,0
1976,alternative meta,0,0
1976,alternative roc,0,0
1976,atl hip ho,0,0
1976,boy ban,0,0
1976,brill building po,0,0
1976,canadian hip ho,0,0
1976,classic sou,523,0
1976,contemporary countr,0,0
1976,contemporary country,0,0
1976,dance po,0,0
1976,dance roc,0,0
1976,disc,0,0
1976,hip ho,0,0
1976,po,0,0
1977,adult standard,1220,0
1977,album roc,1109,0
1977,alternative meta,0,0
1977,alternative roc,0,0
1977,atl hip ho,0,0
1977,boy ban,0,0
1977,brill building po,0,0
1977,canadian hip ho,0,0
1977,classic sou,417,0
1977,contemporary countr,0,0
1977,contemporary country,0,0
1977,dance po,0,0
1977,dance roc,0,0
1977,disc,0,0
1977,hip ho,0,0
1977,po,0,0
1978,adult standard,1066,0
1978,album roc,1311,0
1978,alternative meta,0,0
1978,alternative roc,0,0
1978,atl hip ho,0,0
1978,boy ban,0,0
1978,brill building po,0,0
1978,canadian hip ho,0,0
1978,classic sou,0,0
1978,contemporary countr,0,0
1978,contemporary country,0,0
1978,dance po,0,0
1978,dance roc,0,0
1978,disc,0,0
1978,hip ho,0,0
1978,po,0,0
1979,adult standard,693,0
1979,album roc,1291,0
1979,alternative meta,0,0
1979,alternative roc,0,0
1979,atl hip ho,0,0
1979,boy ban,0,0
1979,brill building po,0,0
1979,canadian hip ho,0,0
1979,classic sou,0,0
1979,contemporary countr,0,0
1979,contemporary country,0,0
1979,dance po,0,0
1979,dance roc,0,0
1979,disc,477,0
1979,hip ho,0,0
1979,po,0,0
1980,adult standard,1097,0
1980,album roc,1216,0
1980,alternative meta,0,0
1980,alternative roc,0,0
1980,atl hip ho,0,0
1980,boy ban,0,0
1980,brill building po,0,0
1980,canadian hip ho,0,0
1980,classic sou,0,0
1980,contemporary countr,0,0
1980,contemporary country,0,0
1980,dance po,0,0
1980,dance roc,0,0
1980,disc,295,0
1980,hip ho,0,0
1980,po,0,0
1981,adult standard,1019,0
1981,album roc,1367,0
1981,alternative meta,0,0
1981,alternative roc,0,0
1981,atl hip ho,0,0
1981,boy ban,0,0
1981,brill building po,0,0
1981,canadian hip ho,0,0
1981,classic sou,0,0
1981,contemporary countr,0,0
1981,contemporary country,0,0
1981,dance po,0,0
1981,dance roc,0,0
1981,disc,0,0
1981,hip ho,0,0
1981,po,0,0
1982,adult standard,897,0
1982,album roc,1705,0
1982,alternative meta,0,0
1982,alternative roc,0,0
1982,atl hip ho,0,0
1982,boy ban,0,0
1982,brill building po,0,0
1982,canadian hip ho,0,0
1982,classic sou,0,0
1982,contemporary countr,0,0
1982,contemporary country,0,0
1982,dance po,0,0
1982,dance roc,0,0
1982,disc,0,0
1982,hip ho,0,0
1982,po,0,0
1983,adult standard,656,0
1983,album roc,1645,0
1983,alternative meta,0,0
1983,alternative roc,0,0
1983,atl hip ho,0,0
1983,boy ban,0,0
1983,brill building po,0,0
1983,canadian hip ho,0,0
1983,classic sou,0,0
1983,contemporary countr,0,0
1983,contemporary country,0,0
1983,dance po,0,0
1983,dance roc,456,0
1983,disc,0,0
1983,hip ho,0,0
1983,po,0,0
1984,adult standard,483,0
1984,album roc,1592,0
1984,alternative meta,0,0
1984,alternative roc,0,0
1984,atl hip ho,0,0
1984,boy ban,0,0
1984,brill building po,0,0
1984,canadian hip ho,0,0
1984,classic sou,0,0
1984,contemporary countr,0,0
1984,contemporary country,0,0
1984,dance po,0,0
1984,dance roc,477,0
1984,disc,0,0
1984,hip ho,0,0
1984,po,0,0
1985,adult standard,366,0
1985,album roc,1425,0
1985,alternative meta,0,0
1985,alternative roc,0,0
1985,atl hip ho,0,0
1985,boy ban,0,0
1985,brill building po,0,0
1985,canadian hip ho,0,0
1985,classic sou,0,0
1985,contemporary countr,0,0
1985,contemporary country,0,0
1985,dance po,0,0
1985,dance roc,614,0
1985,disc,0,0
1985,hip ho,0,0
1985,po,0,0
1986,adult standard,0,0
1986,album roc,1512,0
1986,alternative meta,0,0
1986,alternative roc,0,0
1986,atl hip ho,0,0
1986,boy ban,0,0
1986,brill building po,0,0
1986,canadian hip ho,0,0
1986,classic sou,0,0
1986,contemporary countr,0,0
1986,contemporary country,0,0
1986,dance po,0,0
1986,dance roc,342,0
1986,disc,0,0
1986,hip ho,0,0
1986,po,0,0
1987,adult standard,0,0
1987,album roc,1377,0
1987,alternative meta,0,0
